player_name,match_link,home_team
Tom Scheffel,/spielbericht/index/spielbericht/2500498,True
Marc Lais,/spielbericht/index/spielbericht/2500498,True
Christian Mauersberger,/spielbericht/index/spielbericht/2500498,True
Ozan Pekdemir,/spielbericht/index/spielbericht/2500498,True
Stefano Cincotta,/spielbericht/index/spielbericht/2500498,True
Markus Ziereis,/spielbericht/index/spielbericht/2500498,True
Florian Hansch,/spielbericht/index/spielbericht/2500498,True
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2500498,False
Markus Krug,/spielbericht/index/spielbericht/2500498,False
Ronny Surma,/spielbericht/index/spielbericht/2500498,False
Marcel Trojandt,/spielbericht/index/spielbericht/2500498,False
Dustin Scheibe,/spielbericht/index/spielbericht/2500498,False
Sebastian Dräger,/spielbericht/index/spielbericht/2500498,False
Andy Wendschuch,/spielbericht/index/spielbericht/2500498,False
Ondrej Brusch,/spielbericht/index/spielbericht/2500498,False
Norikazu Murakami,/spielbericht/index/spielbericht/2500498,False
Ramón Hofmann,/spielbericht/index/spielbericht/2500498,False
Gianluca Marzullo,/spielbericht/index/spielbericht/2500498,False
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2503883,True
Markus Krug,/spielbericht/index/spielbericht/2503883,True
Damian Paszlinski,/spielbericht/index/spielbericht/2503883,True
Marcel Trojandt,/spielbericht/index/spielbericht/2503883,True
Dustin Scheibe,/spielbericht/index/spielbericht/2503883,True
Sebastian Dräger,/spielbericht/index/spielbericht/2503883,True
Sebastian Zielinsky,/spielbericht/index/spielbericht/2503883,True
Andy Wendschuch,/spielbericht/index/spielbericht/2503883,True
Ramón Hofmann,/spielbericht/index/spielbericht/2503883,True
Gianluca Marzullo,/spielbericht/index/spielbericht/2503883,True
Djamal Ziane,/spielbericht/index/spielbericht/2503883,True
Fritz Pflug,/spielbericht/index/spielbericht/2503883,False
Fernando Lenk,/spielbericht/index/spielbericht/2503883,False
Marcel Kapplinghaus,/spielbericht/index/spielbericht/2503883,False
Filip Kusic,/spielbericht/index/spielbericht/2503883,False
Martin Dahm,/spielbericht/index/spielbericht/2503883,False
Lukas Bache,/spielbericht/index/spielbericht/2503883,False
Christopher Lemke,/spielbericht/index/spielbericht/2503883,False
Almir Derdemez,/spielbericht/index/spielbericht/2503883,False
Steven Heßler,/spielbericht/index/spielbericht/2503883,False
Paul Maurer,/spielbericht/index/spielbericht/2503883,False
Andy Hebler,/spielbericht/index/spielbericht/2503883,False
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2503895,True
Markus Krug,/spielbericht/index/spielbericht/2503895,True
Damian Paszlinski,/spielbericht/index/spielbericht/2503895,True
Marcel Trojandt,/spielbericht/index/spielbericht/2503895,True
Dustin Scheibe,/spielbericht/index/spielbericht/2503895,True
Sebastian Dräger,/spielbericht/index/spielbericht/2503895,True
Sebastian Zielinsky,/spielbericht/index/spielbericht/2503895,True
Andy Wendschuch,/spielbericht/index/spielbericht/2503895,True
Ramón Hofmann,/spielbericht/index/spielbericht/2503895,True
Gianluca Marzullo,/spielbericht/index/spielbericht/2503895,True
Djamal Ziane,/spielbericht/index/spielbericht/2503895,True
Jakob Pieles,/spielbericht/index/spielbericht/2503895,False
Andy Haupt,/spielbericht/index/spielbericht/2503895,False
Martin Rennert,/spielbericht/index/spielbericht/2503895,False
Florian Hoffmann,/spielbericht/index/spielbericht/2503895,False
Falko Löser,/spielbericht/index/spielbericht/2503895,False
Marc Andris,/spielbericht/index/spielbericht/2503895,False
Tim Cellarius,/spielbericht/index/spielbericht/2503895,False
Lukas Schirrmeister,/spielbericht/index/spielbericht/2503895,False
Arne Reetz,/spielbericht/index/spielbericht/2503895,False
Bozhidar Dimitrov,/spielbericht/index/spielbericht/2503895,False
Anes Seferovic,/spielbericht/index/spielbericht/2503895,False
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2503904,True
Markus Krug,/spielbericht/index/spielbericht/2503904,True
Damian Paszlinski,/spielbericht/index/spielbericht/2503904,True
Marcel Trojandt,/spielbericht/index/spielbericht/2503904,True
